lijuashe,overallocation,conflicts,undersupport,unwilling,unpreferred
lijuashe,0,0,1,0,0
lijuashe,0,0,0,4,0
lijuashe,2,0,0,2,0
lijuashe,0,0,0,0,1
lijuashe,0,0,15,0,0
lijuashe,7,1,8,12,0
lijuashe,12,1,5,9,2
lijuashe,11,2,6,18,0
lijuashe,3,1,13,0,2
lijuashe,11,2,6,19,0
lijuashe,0,0,15,0,1
lijuashe,9,1,7,15,2
lijuashe,19,3,4,24,2
lijuashe,0,0,16,0,0
lijuashe,20,3,4,23,3
lijuashe,7,1,11,8,0
lijuashe,12,2,5,16,2
lijuashe,1,0,15,3,1
lijuashe,0,0,15,0,2
lijuashe,2,1,15,0,2
lijuashe,7,1,9,8,2
lijuashe,0,0,17,0,0
lijuashe,2,0,14,3,0
lijuashe,21,3,2,25,2
lijuashe,0,0,17,0,2
lijuashe,12,1,5,11,2
lijuashe,0,0,17,0,1
lijuashe,7,1,11,8,2
lijuashe,8,1,11,11,2
lijuashe,8,1,9,4,7
